Authors;Title;Abstract;Author Keywords;Index Keywords;Source Title;Document Type;Publisher;DOI;ISSN;ISBN;Book Authors;Group Authors;Book Group Authors;Book Editors;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Start Page;End Page;Book DOI;Early Access Date;Publication Date;Publication Year;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Indexed Date;Cited by;Link;PubMed ID;SJR_Q;JCR_Q;SJR_found;JCR_found;Removal_reason
"Aljabr, F.; Zakarneh, B.; Annamalai, N.; Al Said, N.";Integrating AI: Challenges and Opportunities in Teaching English Writing Skills;Artificial intelligence (AI) technology has the potential to provide personalized instruction for students and elevate administrative tasks for teachers. AI-driven tools can improve accessibility for students learning English as a second language (L2) or foreign language helping educators consider their use in teaching. This research study explores AI-enabled technology usage, challenges, and opportunities in the Arab World. Study data is gathered from semi-structured, in-depth, face-to-face, qualitative interviews with English language instructors at the University of Ha’il, KSA and Ajman University, UAE. Theoretically supported by sociocultural theory, results provided strong insights into AI technology in teaching. Results revealed that key challenges included plagiarism and the impact on students’ skills development, highlighting concerns about academic integrity and overreliance on AI tools like ChatGPT. Despite AI's potential to improve learning experiences by offering personalized support, participants emphasize the need for balanced integration and ethical use. Effective implementation needs comprehensive training for educators and maintaining a balance between AI tools and traditional teaching approaches to preserve critical thinking and creativity while using AI’s advantages. Thus, considering the findings, this study concludes that AI should supplement traditional teaching methods, ensuring that it enhances rather than replaces the crucial human aspects of education. Finally, study recommendations and implications are discussed accordingly. © 2025 Elsevier B.V., All rights reserved.;"AI in Education; Artificial Intelligence; ChatGPT; Education; English Writing; Sociocultural Theory";;World Journal of English Language;Article;Sciedu Press;10.5430/wjel.v15n5p371;"19250711; 19250703";;;;;;;;15;5;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003308992&doi=10.5430%2Fwjel.v15n5p371&partnerID=40&md5=3e3a21c68cacb7c79818b49752038c24;;Q1;;True;False;Journal not found in DBs
"Kanoksilapatham, B.; Takrudkaew, T.";Integrating ChatGPT to Enhance University Students‘Communication Skills: Pedagogical Considerations;This research examines the impact of integrating generative AI (ChatGPT) on 93 Thai university students‘English communication skills and their perceptions of AI integration. Initially, the students completed a video-recorded conversation simulation on a predetermined topic to be assessed using a scoring rubric, representing their pre-simulation performance. Subsequently, the students engaged in structured instruction. They collaborated in small groups with ChatGPT to create conversation scripts on the same topic, which they later used for post-simulation video recordings, representing the post-simulation performance. A focus group discussion with ten randomly selected participants was conducted to explore the students‘perceptions. A comparison of pre- and post-simulation scores revealed significant improvements, particularly in fluency, vocabulary usage, and overall communication skills. Additionally, focus group findings indicated highly positive sentiments about ChatGPT, emphasizing its role in reducing anxiety, promoting creativity and enthusiasm, and enhancing the interactivity and enjoyment of language learning. This study underscores ChatGPT‘s potential as a valuable resource in language education, particularly when combined with teacher support and oversight. By generating scripts grounded in sound pedagogical principles, AI creates an interactive environment for enhancing conversational English, fostering active engagement, and meeting students‘diverse learning needs. Although the findings are promising, the research highlights the necessity of aligning AI implementation with pedagogical principles to guarantee valuable learning experiences. This research contributes to the expanding field of literature on AI in education, offering insights into how tools like ChatGPT can enhance communication abilities and prepare students for real-world applications in academic and professional contexts. © 2025 Elsevier B.V., All rights reserved.;"AI experience; AI implementation attitudes; ChatGPT; English language learning; speaking skills; Thai students";;World Journal of English Language;Article;Sciedu Press;10.5430/wjel.v15n6p173;"19250711; 19250703";;;;;;;;15;6;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009420115&doi=10.5430%2Fwjel.v15n6p173&partnerID=40&md5=35e94ee33dab17b0842b25645385aa73;;Q1;;True;False;Journal not found in DBs
"Alsagoafi, A.A.; Alomran, H.S.";Revolutionizing Assessment: Leveraging ChatGPT for Automated Item Generation: An AI Driven Exploratory Study with EFL Teachers;ChatGPT is gaining widespread acceptance in many disciplines since its launch at the end of 2022. The impact of ChatGPT on education is evident, but there is a dearth of knowledge on how English as a Foreign Language (EFL) teachers benefit from this technology. Therefore, this study investigates the use of ChatGPT to generate exam questions among EFL educators in Saudi Arabia. Through a mixed-methods approach that included an online questionnaire and an experimental design, the study attempted to gain insights from educators on using artificial intelligence (AI) technology for assessment. An online questionnaire was shared with 200 public school EFL teachers at various grade levels in the Eastern Province of Saudi Arabia. The findings revealed a varied landscape of perspectives, with some educators approving ChatGPT‟s efficiency in generating exam questions, whereas others expressed concerns about its limited application. A further examination of the instructor-designed and ChatGPT-generated test items revealed that ChatGPT has the potential to stimulate critical thinking and expand assessment formats. The results indicate that educators require professional development to leverage AI technology responsibly. Furthermore, this study highlights the importance of navigating the emerging ChatGPT in EFL classrooms to ensure reliability and consistency of the evaluation process. © 2025 Elsevier B.V., All rights reserved.;"assessment; ChatGPT; EFL contexts; mixed-methods approach; prompt design";;World Journal of English Language;Article;Sciedu Press;10.5430/wjel.v15n6p385;"19250711; 19250703";;;;;;;;15;6;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011206961&doi=10.5430%2Fwjel.v15n6p385&partnerID=40&md5=772f217e80651f4294a8beb9a9e5bbe8;;Q1;;True;False;Journal not found in DBs
"Shi, H.; Cheung, L.M.E.";Service-Learning as Inclusive CALL: A Hong Kong Case Study;This study investigates the intersection of computer-assisted language learning (CALL) and service-learning (SL) in higher education, focusing on language educators’ experiences of offering SL subjects to children and adults from underprivileged communities in Hong Kong. While research on SL has primarily centered on students’ learning, this study addresses the understudied perspectives of faculty practitioners. The research explores how teachers integrate SL into language subjects, the role of digital technologies in language-based SL subjects, and the challenges faced by educators implementing innovative pedagogies. Using a qualitative approach, this case study examines four SL subjects offered by a self-financed tertiary institution in Hong Kong from 2022 to 2024. Content analysis was conducted on data including semi-structured interviews with SL proposers and teachers (N=5), SL subject artifacts (teaching plans, assessment guides, and subject deliverables), and teacher-researchers’ autoethnographic accounts (N=2). The study aims to provide insights into the benefits and difficulties of combining CALL and SL, challenges and coping strategies, and the impact of emerging technologies like podcasting and generative artificial intelligence (GenAI) on language instruction. By exploring these aspects, this paper seeks to contribute to the understanding of inclusivity in language education and inform curriculum development for CALL practitioners engaged in service-learning initiatives. © 2025 Elsevier B.V., All rights reserved.;"Computer-assisted language learning (CALL); Generative artificial intelligence (GenAI); Inclusivity; Language teachers; Qualitative study; Service-learning (SL)";;CALL-EJ;Article;The Pacific Association for Computer Assisted Language Learning (PacCALL);10.54855/callej.252623;21879036;;;;;;;;26;2;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002610009&doi=10.54855%2Fcallej.252623&partnerID=40&md5=6521d19da4eef92c7a2e636ddcfc8bab;;Q1;;True;False;Journal not found in DBs
"Luu, L.T.M.; Vinh, D.Q.";ChatGPT’s Impact on Listening Comprehension: Perspectives from Vietnamese EFL University Learners;Research has shown that ChatGPT is a valuable educational tool for developing second language (L2) proficiency. While extensive literature highlights its positive influence on various linguistic skills, its impact on L2 listening skills remains underexplored. This study reports the findings of an investigation into Vietnamese EFL learners’ perceptions of ChatGPT’s role in improving L2 listening abilities. The study adopted an explanatory mixed method design by recruiting 245 undergraduates from three main disciplines at a private university: Business and Management, Technology and Data, and Social Sciences and Humanities. Data were collected through a questionnaire for the first phase, followed by semi-structured interviews with 11 participants. The findings revealed that only half of respondents believe that ChatGPT is beneficial for enhancing L2 listening skills. However, when asked about its effect on specific listening-related domains, students showed an acknowledgment of certain advantages. Specifically, ChatGPT is most effective in promoting vocabulary development, followed by grammar knowledge, and working memory. The least significant benefits are observed in improving pronunciation and motivation for listening. Moreover, gender has no significant role in shaping students’ views on ChatGPT’s benefits while its perceived usefulness varies notably across academic disciplines. Based on the findings, the study offers implications and recommendations for teachers and learners to maximize the potential of ChatGPT in L2 listening development. © 2025 Elsevier B.V., All rights reserved.;"L2 listening skills; Perception; Vietnamese EFL learners";;CALL-EJ;Article;The Pacific Association for Computer Assisted Language Learning (PacCALL);10.54855/callej.252633;21879036;;;;;;;;26;3;;;;;;;;;;;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006806951&doi=10.54855%2Fcallej.252633&partnerID=40&md5=9f013fc038e01c299e5978d1e7925084;;Q1;;True;False;Journal not found in DBs
"Oktarin, I.B.; Saputri, M.E.E.; Magdalena, B.; Hastomo, T.; Maximilian, A.";Leveraging ChatGPT to enhance students’ writing skills, engagement, and feedback literacy;The rapid development of technology has dramatically increased the use of AI chatbots in English Language Teaching (ELT). This research investigates the role of AI chatbots in English as Foreign Language (EFL) students’ writing by addressing the following three main goals: (1) to measure how AI chatbots affect students' writing learning outcomes, (2) to evaluate their impact on writing feedback literacy and engagement, and (3) to explore how students use AI chatbots to improve these areas. Fifty Indonesian university students undertaking an Economic English course participated in this mixed-methods study, divided into an experimental group and a control group, each with 25 students. Data collection instruments included tests, questionnaires, and interviews. Quantitative data were analyzed statistically, while qualitative data were examined through thematic analysis. The findings revealed that the experimental group using AI chatbots showed significant improvements in writing outcomes. Additionally, this group demonstrated notable advancements in both writing feedback literacy and engagement. Students employed various strategies such as interactive writing practice, personalized learning plans, guidance on reading materials, acting upon feedback, peer feedback, gamified learning, and community building to enhance these areas. These results advance our understanding of the role of AI chatbots and inform instructional strategies in ELT. © 2024 Elsevier B.V., All rights reserved.;"AI chatbots; ChatGPT; Feedback literacy; Learning outcome; Writing engagement";;Edelweiss Applied Science and Technology;Article;Learning Gate;10.55214/25768484.v8i4.1600;25768484;;;;;;;;8;4;;;;;;;;;;;;10;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205710542&doi=10.55214%2F25768484.v8i4.1600&partnerID=40&md5=fcce57c68033d47b078c82409031aadb;;Q3;;True;False;Journal not found in DBs
Chanpradit, T.;Generative artificial intelligence in academic writing in higher education: A systematic review;The growing integration of generative artificial intelligence tools in higher education has not met with comprehensive guidelines regarding the use of GenAI in academic writing, especially in English language teaching and learning. This review seeks to fill this gap by identifying and synthesizing research that examines the roles, benefits, challenges, and ethical considerations of GenAI published between 2023 and 2024. The PRISMA procedure was used to identify research articles that resulted in 30 studies selected for the review. The findings of the review identified the significant role that generative AI plays in enhancing the cohesion, precision, clarity, and engagement of academic writing, offering improved creativity, fluency, and proficiency. However, it also identified challenges, including the risks of plagiarism, over-reliance on AI tools and their generated text, diminished creativity, ethical misconduct, and limitations in interpreting nuanced information and producing authentic content. Issues such as hallucinations, biases, cultural insensitivity, unequal access to AI technologies, and inadequate AI literacy further complicate the integration of GenAI. Ethical considerations, particularly institutional guidelines and transparent data management, are critical to ensuring the responsible use of AI. Human oversight and institutional support, including structured training and equitable access, are also necessary to address these challenges. © 2025 Elsevier B.V., All rights reserved.;"Academic writing; English learning and teaching; GenAI; Higher education";;Edelweiss Applied Science and Technology;Article;Learning Gate;10.55214/25768484.v9i4.6128;25768484;;;;;;;;9;4;;;;;;;;;;;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003406586&doi=10.55214%2F25768484.v9i4.6128&partnerID=40&md5=747d9095d94a48393cbb7f7de0cfb7df;;Q3;;True;False;Journal not found in DBs
"Hong, H.; Vate-U-Lan, P.; Viriyavejakul, C.";Generative AI–mediated scaffolds for enhanced critical thinking in EFL writing;Generative AI tools present new opportunities for enhancing critical thinking (CT) in English as a Foreign Language (EFL) writing instruction. This study investigates how the structured integration of these technologies could support the development of CT skills, particularly in vocational education contexts. An eight-week multiple-case action research design was conducted across three vocational colleges, involving 92 students engaged in iterative writing and revision cycles guided by the GenAI-CT framework. This pedagogical model draws on Bloom’s taxonomy, Vygotsky’s Zone of Proximal Development, and cognitive apprenticeship theory to scaffold learners through increasingly complex reasoning tasks. Data were collected from student essays, AI interaction logs, reflective journals, and classroom observations. Mixed-methods analysis revealed statistically significant gains across all CT dimensions (p<.001). Thematic findings indicated notable increases in analytical depth, metacognitive reflection, and evaluative judgment. Variations across cases underscored the influence of disciplinary focus and instructional mediation styles. These results demonstrate that generative AI, when embedded in intentional pedagogical structures, can foster cognitive engagement rather than superficial automation. The GenAI-CT framework offers a replicable model for integrating AI in applied language and communication instruction, supporting educators in cultivating critical thinking through technology-enhanced learning environments. © 2025 Elsevier B.V., All rights reserved.;"AI-Mediated learning; Cognitive scaffolding; Critical thinking; EFL writing instruction; Generative AI";;Edelweiss Applied Science and Technology;Article;Learning Gate;10.55214/25768484.v9i6.7751;25768484;;;;;;;;9;6;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007708456&doi=10.55214%2F25768484.v9i6.7751&partnerID=40&md5=a8ed70827c6a375ffbb3f31e46dbe0ca;;Q3;;True;False;Journal not found in DBs
Al-Alami, S.E.;Exploring the attitudes of EFL university instructors and students toward utilizing ChatGPT for acquiring writing fluency and accuracy skills;Technological advancements, including ChatGPT, influence foreign language education in several ways. This study specifically explores the attitudes of university instructors and students regarding the use of ChatGPT, a robust language model capable of producing error-free essays and translating texts, among other uses, to enhance writing fluency and accuracy skills in English as a foreign language (EFL). Four research questions were addressed to examine the study’s main concerns. Conducted during the 2023–2024 academic year at a private university in Sharjah, where the author works, the study involved a sample of EFL instructors and students. A mixed methods design was used by employing two tools: a five-point Likert scale questionnaire comprising nine items and a semi-free interview with two questions. The findings indicated that most of the study’s subjects did not view utilizing ChatGPT in EFL higher education as significant in terms of augmenting writing fluency and accuracy skills. Based on the findings, it can be concluded that using ChatGPT for the acquisition of fluent and accurate writing skills is not significantly impactful in EFL in higher education. Unless wisely utilized as a supportive tool for developing writing abilities rather than the main means for performing writing tasks, ChatGPT utilization is not significantly beneficial. © 2024 Elsevier B.V., All rights reserved.;"Academic integrity; ChatGPT; English as a foreign language; Higher education; Writing abilities; Writing accuracy skills; Writing fluency skills";;International Journal of English Language and Literature Studies;Article;Asian Economic and Social Society;10.55493/5019.v13i3.5182;"23060646; 23069910";;;;;;;;13;3;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206116289&doi=10.55493%2F5019.v13i3.5182&partnerID=40&md5=ee239d37f811bcbfcc85ff950e849eac;;Q1;;True;False;Journal not found in DBs
"Zakarneh, B.I.; Annamalai, N.; Al Said, N.; Aljabr, F.";Revolutionizing language learning through ChatGPT: An analysis of English language learners;This research examines the effects of ChatGPT on English language learners in the United Arab Emirates (UAE). The results showed that the use of ChatGPT positively affects students' perceived improvement, time efficiency, language skills, and curiosity to learn the language. The effect of ChatGPT use on attitudes toward language learning was also positive. It was found that ChatGPT provides accurate and reliable English translation of text, leading to a belief that ChatGPT is useful to students’ English language learning. Also, self-studying with ChatGPT has helped them perform well in class and has become a regular tool for English language learning. Finally, the proposed effect of ChatGPT use on the students' academic performance was positive. The respondents revealed that their English communication skills had significantly improved. ChatGPT boosted their confidence in preparing assignments in English, and their performance in English language modules also improved. Consequently, they can complete and proofread assignments on time using ChatGPT. Therefore, this research showed a strong transformative potential of ChatGPT as an AI-driven instrument in changing language education, ensuring prosperity and promising possibilities for improved educational results and personalized learning experiences among students in higher education. © 2025 Elsevier B.V., All rights reserved.;"Academic performance; Artificial intelligence; Attitudes; ChatGPT use; Constructivist learning theory; Language learning; Perceived improvement";;International Journal of English Language and Literature Studies;Article;Asian Economic and Social Society;10.55493/5019.v14i1.5274;"23060646; 23069910";;;;;;;;14;1;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216485595&doi=10.55493%2F5019.v14i1.5274&partnerID=40&md5=5dd8f156fad607ad3a76cb81dd3d8b5c;;Q1;;True;False;Journal not found in DBs
Park, S.;Effectiveness and moderating factors of computer-mediated feedback in L2 writing: A meta-analysis;Computer-mediated feedback (CMF) for writing has garnered growing attention among practitioners and researchers. However, comprehensive meta-analyses in English as a foreign language (EFL) and English as second language (ESL) contexts remain scarce. This study synthesized 19 valid effect sizes from 26 experimental studies conducted between 2021 and 2024 to evaluate the effectiveness of CMF in L2 learners’ writing performance and determine the moderating factors influencing its variability. The results revealed CMF large overall effect (g = 1.602) with significant variability across studies. A moderator analysis identified meaningful differences based on feedback source, feedback timing, learner proficiency, and task characteristics. Automated and immediate feedback demonstrated the strongest impact (g = 0.937 and g = 0.875) highlighting their importance in facilitating real-time corrections. Intermediate learners benefited the most (g = 0.789) while advanced and beginner learners showed comparatively smaller effects. Greater improvements were observed in academic writing tasks other than argumentative writing tasks. Additionally, integrating educational software alongside CMF implementation at the university level appeared to enhance writing proficiency. These findings suggest that CMF significantly contributes to L2 writing development, particularly in structured academic environments. © 2025 Elsevier B.V., All rights reserved.;"ChatGPT; Computer-mediated feedback; Feedback; L2 writing performance; Meta-analysis; Moderator analysis";;International Journal of English Language and Literature Studies;Article;Asian Economic and Social Society;10.55493/5019.v14i1.5328;"23060646; 23069910";;;;;;;;14;1;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001996963&doi=10.55493%2F5019.v14i1.5328&partnerID=40&md5=a912a142ec3add67ed2d210a9cb27b20;;Q1;;True;False;Journal not found in DBs
"Kostka, I.; Toncelli, R.";Exploring Applications of ChatGPT to English Language Teaching: Opportunities, Challenges, and Recommendations;"By utilizing a massive corpus of textual data, large language models can generate unique human-like outputs to questions and interact with users in a natural conversational way. ChatGPT is one such platform, and since it emerged into the public consciousness in November 2022, it has generated both excitement and concern among educators. A growing body of scholarship has considered the pedagogical use of ChatGPT and its ability to enhance teachers' roles (e.g., Kohnke et al., 2023; Rudolph et al., 2023). Scholars have also raised concerns about ChatGPT's impact on academic integrity and scholarly publishing (Teng, 2023). Nonetheless, AI has existed for some time (Holmes & Tuomi, 2022) and, rather than a beginning of the end of education, it may guide educators into an era of pedagogical innovation (Heaven, 2023). In this paper, we explore the role of ChatGPT in English Language Teaching (ELT). We first provide background information about ChatGPT and its functions. We then draw from literature to describe current thinking on its benefits and challenges then describe how we have experimented with ChatGPT at our own university. We conclude by discussing implications for using ChatGPT in ELT and offering recommendations for future directions in teaching and research. © 2023 Elsevier B.V., All rights reserved.";"21st century skills; ChatGPT; English language teaching; generative AI; higher education; human-machine collaboration";;TESL-EJ;Article;Editorial Board TESL - EJ;10.55593/ej.27107int;10724303;;;;;;;;27;3;;;;;;;;;;;;152;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171800238&doi=10.55593%2Fej.27107int&partnerID=40&md5=5b54941a2bd3ef5f2c2744da079be479;;Q1;;True;False;Journal not found in DBs
van Horn, K.R.;ChatGPT in English Language Learning: Exploring Perceptions and Promoting Autonomy in a University EFL Context;Building on previous research, this qualitative exploratory study investigates the impact of ChatGPT on English language classes among Korean university students. The researcher uses pre- and post-training surveys, in-class observations, and interviews to explore 120 students’ perceptions of their experiences over a 15-week semester. Results indicate largely positive attitudes, with students expressing optimism about ChatGPT's potential to enhance language skills. Classroom engagement was high, fostering collaboration and active participation. Post-training interviews revealed improved confidence, collaborative learning experiences, and a shift toward metacognitive awareness in learners and autonomous learning. Some technical and language challenges surfaced, as well as skepticism from a small number of learners. Long-term post-training surveys highlight sustained engagement and real-world applications. The findings provide insights for educators and policymakers considering the integration of AI tools in language education, emphasizing the importance of ongoing support and flexibility in implementation strategies. © 2024 Elsevier B.V., All rights reserved.;"AI technology; Autonomous learning; ChatGPT; Educational technology; EFL; Independent learning; Language learning";;TESL-EJ;Article;Editorial Board TESL - EJ;10.55593/ej.28109a8;10724303;;;;;;;;28;1;;;;;;;;;;;;26;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194902005&doi=10.55593%2Fej.28109a8&partnerID=40&md5=9ac292ccde7ddf0bbf49adde91d60329;;Q1;;True;False;Journal not found in DBs
"Pack, A.; Maloney, J.";POTENTIAL AFFORDANCES of GENERATIVE AI in LANGUAGE EDUCATION: DEMONSTRATIONS and an EVALUATIVE FRAMEWORK;With recent public access to large language models via chatbots, the field of language education is seeing unprecedented levels of interest in how AI will affect language learning and teaching. As attention is primarily focused on student misuse of the technology, the potential affordances of generative AI tools may often be overlooked. In this paper we highlight potential affordances of AI generative tools, such as ChatGPT, for creating language learning and teaching materials and assessments. We offer suggestions on crafting prompts as well as provide example prompts and the materials and assessments generated by ChatGPT in response. We also present a framework for evaluation that combines both of Hubbard’s (1988) framework for CALL evaluation and The Douglas Fir Group’s (2016) transdisciplinary framework that may assist language educators in determining when it is appropriate to leverage generative AI tools. We then briefly illustrate how the framework has been used in our own evaluations. Finally, we suggest language educators consider how the concerns and opinions of using AI-based tools held by individuals and institutions within their own micro, meso, and macro sociocultural levels align or conflict with those of the individuals and institutions of their students’ micro, meso, and macro sociocultural levels. © 2023 Elsevier B.V., All rights reserved.;"Artificial Intelligence; Language Assessment; Language Education; Materials Creation";;Teaching English with Technology;Article;University of Nicosia;10.56297/BUKA4060/VRRO1747;16421027;;;;;;;;23;2;;;;;;;;;;;;34;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167907759&doi=10.56297%2FBUKA4060%2FVRRO1747&partnerID=40&md5=4668f1f73fd7b26376e6f5180cd24b70;;Q1;;True;False;Journal not found in DBs
"Alexander, K.; Savvidou, C.; Alexander, C.";WHO WROTE THIS ESSAY? DETECTING AI-GENERATED WRITING in SECOND LANGUAGE EDUCATION in HIGHER EDUCATION;Recent developments in AI technologies and the increasing accessibility of AI tools, such as ChatGPT, have raised concerns about academic integrity in higher education. Thus, this research aims to shed light on the challenges faced by English as a Second Language (ESL) lecturers in identifying AI-generated texts, and highlighting the skills and resources needed to enhance their detection capabilities. In this qualitative study, data were collected from six ESL lecturers working in a higher educational institution in Cyprus. Participants evaluated four academic essays at C1 level to determine which, if any, of the sample had been fully or partially AI-generated, and these results were then compared to results from four AI detectors. Findings reveal that participants tended to exploit a deficit model of assessment that focuses on error as an indicator of L2 writing output, with high levels of technical and grammatical accuracy and sophisticated language use as indicators of AI-generated text. Moreover, findings suggest that limited awareness of the characteristics and metrics used by ChatGPT, as well as lack of attention to the veracity of facts and references generated by ChatGPT, were features of participants’ evaluations. This study identifies the growing challenges encountered by ESL lecturers and underlines the need for digital literacy training, targeted professional development, the use of advanced detection tools and a review of assessment policies and practices in relation to AI. Additionally, this study highlights the importance of reviewing and reinforcing institutional policies and practices that safeguard academic integrity and ensure quality higher education. © 2023 Elsevier B.V., All rights reserved.;"academic integrity; academic writing; assessment; ESL; Generative AI; higher education";;Teaching English with Technology;Article;University of Nicosia;10.56297/BUKA4060/XHLD5365;16421027;;;;;;;;23;2;;;;;;;;;;;;70;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167891340&doi=10.56297%2FBUKA4060%2FXHLD5365&partnerID=40&md5=346de4e2c19e3f7a6ad086ce19ed89b3;;Q1;;True;False;Journal not found in DBs
"Cong-Lem, N.; Nghi, N.T.; Thang, T.T.";ACADEMIC INTEGRITY in the AGE of GENERATIVE AI: PERCEPTIONS and RESPONSES of VIETNAMESE EFL TEACHERS;This study examines the perceptions and responses of Vietnamese teachers of English as a Foreign Language (EFL) to academic integrity concerns that arise from the use of AI, specifically chatbots like ChatGPT, in foreign language education. The study employed an open-ended survey to collect data from 31 Vietnamese EFL teachers who were asked to share their views on AI-based academic dishonesty, identify perceived causes, outline consequences for students engaging in AI-based plagiarism, and articulate their pedagogical responses to the issue. The study found that teachers primarily attributed students’ AI-driven plagiarism to a deficiency in original ideas, poor learning attitudes and motivation, and students’ linguistic competencies. The over-reliance on AI was identified as a hindrance to the development of knowledge and skills such as critical thinking and language proficiency. In response to academic dishonesty, teachers advocated for increased regulations, the implementation of AI-based plagiarism detectors, and education on responsible AI use. The findings underscore the importance of adapting language teaching pedagogies and assessments to incorporate personalised learning and process-oriented teaching approaches that support critical thinking and genuine learning motivation. The insights derived from this research contribute to a deeper understanding of EFL educators’ perspectives, offering valuable input for the development of policies and practices aimed at promoting academic integrity in the AI era. © 2024 Elsevier B.V., All rights reserved.;"academic dishonesty; academic integrity; ChatGPT; English as a foreign language; language assessment; teacher perception";;Teaching English with Technology;Article;University of Nicosia;10.56297/FSYB3031/MXNB7567;16421027;;;;;;;;24;1;;;;;;;;;;;;27;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186641734&doi=10.56297%2FFSYB3031%2FMXNB7567&partnerID=40&md5=77093e7d0dc5371ad3b8e0826ec588de;;Q1;;True;False;Journal not found in DBs
"ElEbyary, K.; Shabara, R.";CHATGPT-GENERATED CORRECTIVE FEEDBACK: DOES IT DO WHAT IT SAYS on the TIN?;Although some published studies have challenged the importance and efficacy of written corrective feedback (WCF), ESL/EFL tutors continue to value its practice and provide WCF to their students in spite of their time and workload constraints. The development of various automated-feedback applications over the last few years contributed to our understanding of what machine-operated feedback is capable of in comparison to teachers. The release of OpenAI’s ChatGPT in 2022 has taken the world by surprise. This AI-operated tool has attracted the attention of students, teachers and researchers in the field of L2 teaching and learning. There are now claims that it has the capabilities for providing WCF on written output. The overarching aim of this study is to compare the quantity and quality of analytical corrective feedback provided and moderated by trained classroom teachers with ChatGPT-generated feedback on the written output of a group of students (English Level CEFR B1) attending an EAP course at an international branch campus of a UK university. Both teachers and ChatGPT used the same analytical marking criteria to mark students’ essays and provide feedback on language use and use of academic vocabulary and style. Analysis of results provided valuable insights into the adequacy of the feedback strategy, guidance and polarity, offering a foundation and guidelines for future endeavours to optimize the integration of AI-generated feedback within L2 contexts. Implications and recommendations regarding the potentials/future of using ChatGPT as a feedback tool in L2 are discussed. © 2025 Elsevier B.V., All rights reserved.;"ChatGPT; corrective feedback; teacher feedback";;Teaching English with Technology;Article;University of Nicosia;10.56297/VACA6841//BFFO7057/MYEH4562;16421027;;;;;;;;24;3;;;;;;;;;;;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003373129&doi=10.56297%2FVACA6841%2F%2FBFFO7057%2FMYEH4562&partnerID=40&md5=5c8c05a087c71c846964bd08484fceab;;Q1;;True;False;Journal not found in DBs
"Williyan, A.; Fitriati, S.W.; Pratama, H.; Sakhiyya, Z.";AI as CO-CREATOR: EXPLORING INDONESIAN EFL TEACHERS’ COLLABORATION With AI in CONTENT DEVELOPMENT;This research explores the collaboration between Indonesian English as a Foreign Language (EFL) educators and Artificial Intelligence (AI) in content development. Employing a qualitative approach, semi-structured interviews were conducted to delve into the perspectives, experiences, and interactions of educators in the realm of AI-enhanced content creation. The study adopts a phenomenological approach, seeking to uncover the underlying essence of the evolving educator-AI relationship in content development. The findings reveal a spectrum of AI integration among educators, from heavy reliance to a balanced approach. Educators demonstrate adaptability and resourcefulness, combining school textbooks with AI-powered tools, such as ChatGPT, magicschool.ai, and you.com, creating dynamic and engaging instructional strategies. Their approaches to lesson planning, content development, presentation, teaching methods, and assessment display a diverse range of AI incorporation, emphasizing flexibility and student-centred learning. Educators are blending textbook analysis, AI tools, and multimedia resources to enhance learning environments. Interactive and student-centred teaching methods, such as pair work, role-play scenarios, and dialogue practice, foster language acquisition, communication skills, and student confidence. In assessment and evaluation, the integration of AI tools, such as ChatGPT, Twee, and Questionwell is emerging, enriching evaluation methods and promising improved student learning experiences. This research sheds light on the dynamic nature of AI-augmented content development in Indonesian EFL education, highlighting educators’ adaptability and resourcefulness in embracing technology to enhance pedagogical practices and foster enriched language acquisition experiences for their students. © 2024 Elsevier B.V., All rights reserved.;"AI integration; content development; EFL education; Indonesian educators; pedagogical innovation";;Teaching English with Technology;Article;University of Nicosia;10.56297/vaca6841/LRDX3699/RZOH5366;16421027;;;;;;;;24;2;;;;;;;;;;;;10;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200596438&doi=10.56297%2Fvaca6841%2FLRDX3699%2FRZOH5366&partnerID=40&md5=76231ed81c5225a4885a7aa31e9e2d39;;Q1;;True;False;Journal not found in DBs
